slug	direct	with_descendants	parent	alias_of	description
pacifism	96	96	removal-creature		A form of removal that prevents a creature from attacking, and usually also from blocking and/or activating its abilities.
sneak-creature	96	96	sneak		
strive	96	96			Cards that require paying an additional cost per additional target.
artifactfall	95	95	thingfall		Cards that care about an artifact entering the battlefield.
catch-up	95	95			Players who have less get more.
conjure-creature	95	95	conjure		Cards that conjure creatures.
gives-castable-from-library	17	95	gives-castable-from-nonhand		
hate-blue	94	95	hate-color		
hate-color-choose	95	95	hate-color		Color hate where you choose a color to hate on.
hate-low-power	49	95	hate		
specialized	95	95			Cards which are the result of the specialize mechanic.
synergy-mill	95	95			
hellbending	94	94	ditch-hand		Cards that let you go hellbent, usually by letting you empty your entire hand.
prevent-cast	45	94			
synergy-multicolor	76	94			Cards that care about you using multicolored cards.
typal-choose	94	94	typal-creature		Choose a creature type with which to synergize.
eponymous	93	93	card-names		Non-token cards with a name matching their subtypes.
multi-copy	93	93			Copy effects that grant you multiple copies of a permanent at a time.
type-errata-specific	0	93	type-errata-genericise		Cards that had a very specific type line that was simplified to a larger group.
hate-instant	92	92	hate		
repeated-keyword	92	92	repeated-effect		Repetition or stacking of a keyword.
synergy-food	91	92			
synergy-graveyard-cast	48	92			Cards that care about casting spells from graveyards.
hate-green	91	91	hate-color		
prevent-activation	67	91			
exile-self-dfc-transform	90	90	exile-self		DFCs that exile themselves as part of their transformation.
misnomer	90	90	card-names		Cards with names that imply something that card isn't, such as a mechanic or a color.
synergy-island	85	90			
coin-flip	89	89			Cards that flip coins. For cards that care about coin flips see [coin flips matter](coin-flips-matter).
hate-high-mv	89	89	hate		Cards that specifically hate on cards with high mana value, typically at least 3 or 4.
catch-22	19	88			At the end of turn, if a condition isn't met, a consequence is given.
color-change-self	88	88	color-change		
forced-attacker	88	88	drawback		Creatures that have to attack every combat if possible.
mixed-subtypes	88	88			These cards have subtypes on the same type line that belong to different card types. (For example, Dryad is a creature subtype and Forest is a land subtype.)
modal-inverse-choices	88	88	modal		Spells where the modal options are: X, Mirror of X
untapper-nonland	12	88	untapper		
gains-deathtouch	87	87			
repeatable-clues	87	87	repeatable-noncreature-tokens		
discard-to-exile	73	86	hand-disruption		Put cards from the opponent's hand into exile, either permanently or by [banishing](banish-hand) them.
gains-menace	86	86	evasion		
living-weapon	85	86	quick-equip		Equipments that attach themselves to a creature they create on ETB.
seek-to-hand	86	86	seek-to-zone		
typal-vampire	86	86	typal-creature		
homeward-effect	85	85	hate-theft		Regain control of stuff you own.
rescue-artifact	12	85	rescue		
synergy-saga	18	85			
typal-ally	84	85	typal-creature		
alternate-win-condition	84	84			New ways for you to win the game (or cause your opponent to lose)
cost-reducer-creature	84	84	cost-reducer		
offcolor-additional-cost	84	84	more-expensive-than-mv		Cards with an additional cost of mana beyond the card's own colors.
trigger-from-exile	84	84	triggered-ability		Abilities that trigger from inside exile.
typal-merfolk	84	84	typal-creature		
un-type-line	84	84	un-set-mechanics		A card with a type only found in silver border or on Acorn cards.
counter-increaser	20	83			Cards that increase the amount of counters that would be given to something.
keyword-errata	0	83			These cards originally spelled out an ability that became a keyword, and were thus given errata.
sweeper-graveyard	83	83	hate-graveyard		Remove all cards from one or more graveyards
typal-cleric	33	83	typal-creature		
hate-nonbasic-land	82	82	hate		
maro-sorcerer	82	82	lands-matter		Creatures that scale in power and toughness with the number of lands you control.
tapland-with-set-s-mechanic	82	82	tapland		
top-matters	82	82			The top card of your library matters for purposes other than playing it or drawing it.
warlord	82	82	creature-count-matters		This creature's P/T is equal to the number of creatures you control. Named in the Color Pie 2017 article.
doom-blade	81	81	spot-removal		2 MV "Destroy target creature, unless it's X"
land-conversion	81	81	type-change		Effects that change or add land types and affect how lands produce mana.
named-token	81	81			Tokens that have a specific name, rather than inheriting their name from their type line.
overrun	81	81	power-boost-to-all		Effects that grant trample and +P/+T
quadratic	81	81			Cards with some kind of effect increases to the second power. This could mean something like a power increase, token creation, or otherwise. See [exponential](exponential) for a different, but similar kind of effect.
synergy-arcane	81	81			
creates-token-of-a-card	48	79	token-versions-of-cards		These cards create a token with characteristics seen on a printed card. There may not be an associated physical token. See the parent tag above for more information.
hate-sorcery	79	79	hate		
high-mana-value-matters	79	79	mana-value-matters		Effects that care about your things with mana value above some boundary value (usually 4 or 5). See also [scales with mana value](scales-with-mana-value).
mana-storage	59	79			Cards that can be used to store mana for later phases and/or turns. The storing methods are varied—many use counters to count stored mana, while others create tokens.
regrowth-sorcery	74	79	regrowth		Effects that put a sorcery back in your hand from the graveyard.
synergy-sticker	42	79			
animate-artifact	78	78	animate		Cards that can turn other noncreature artifacts into creatures. See also [animate vehicle](/tags/card/animate-vehicle).
ramp-with-set-s-mechanic	78	78	staple-with-set-s-mechanic		
regrowth-instant	73	78	regrowth		Effects that put an instant back in your hand from the graveyard.
dnd-mechanic	57	77	dnd		Cards named after and representing DnD mechanics.
mutual-sacrifice	59	77	removal-sacrifice		Everyone sacrifices something.
notorious-templating	77	77			Cards with effects that have to be templated in such a way that they are confusing to read at first glance. They don't have to be complex effects in practice (such as Animate Dead), but require a large amount of text to function in Magic.
phyrexian-mana	0	77	life-payment		
play-from-top	15	77	gives-castable-from-library		Cards that let you play or cast the top card of your library. (Separate from [impulsive draw](https://tagger.scryfall.com/tags/card/impulsive-draw) which exiles it first.)
typal-share	77	77	typal-creature		Tribal effects that care about shared creature types.
type-errata-hound	77	77	type-errata		These were all hounds, now thanks to Ruff they're all dogs, as of Core set 2021 (Or in the case of Jackal Pup, a Jackal)
counterspell-reusable	76	76	counterspell		Counterspell spells and abilities you can use again and again.
donate	76	76	control-changing-effects		Effects that give control of a card you control to another player
gains-mm-counters	50	76			
potentially-free	36	76	cheaper-than-mv		Cards that can be played without spending any resources (Mana, life, tapping creatures, etc). Cards must be able to be not free, to be potentially free.
reanimate-artifact	74	76	recursion-artifact		
sneak-land	76	76	extra-land		Cards that let you put lands on the battlefield from your hand without playing them.
synergy-exile-cast	32	76			Cards that care about casting spells from exile.
tutor-artifact	47	76	tutor		Cards that tutor artifact cards.
untapper-permanent	76	76	untapper-nonland		
cost-increaser	75	75			
haven	67	75			Exile your permanents to return them at much later point, essentially storing them somewhere safe. Not to be confused with [flicker](/tags/card/flicker) or [banish](banish).
life-total-matters-self	75	75			Cards that care about your life total being above or below a certain amount. This doesn’t include cards like Phyrexian Arena that simply want you to be alive.
pseudo-fog	75	75			Effects that can protect you from an entire combat phase, similar to the card Fog, but using less conventional means than damage prevention.
wish	61	75			Effects which allow you to bring in cards from outside the game.
death-trigger-opponent	74	74	death-trigger		Cards that trigger when an opponent's permanent is sent to a graveyard.
filterland	44	74	mana-filter		Lands that take one mana and give you back another colour of mana, sometimes in greater quantities.
planeswalker-deck-staples	0	74			Cards that are formulaic includes of planeswalker decks: [tutors](/tags/card/pwdeck-tutor) to help you find the deck's planeswalker, and [sidekicks](/tags/card/pwdeck-sidekick) that benefit from having that planeswalker out.
typal-army	74	74	typal-creature		
changeling	53	73	cda-subtype		Cards that have all creature types in all zones.
clone	64	73	copy		Cards that enter as copies of other things
damage-redirection	51	73	damage-prevention		
enchantmentfall	73	73	thingfall		Cards that care about enchantments entering the batllefield.
phasing	73	73			Cards that involve phasing, whether the action or ability.
regrowth-artifact	61	73	regrowth		Effects that put an artifact back in your hand from the graveyard.
recycle	72	72			Sacrifice a thing to get another thing back from the graveyard.
turns-off-defender-self	72	72			
unique-plane-type	72	72	unique-type-line		
gives-ward	71	71	protection		
second-spell-matters	71	71			Cards that care when the player casting or controlling them casts their second spell for the turn.
shapesharing	71	71	copy		Something on the battlefield becomes a copy of something else.
unique-cr-reference	71	71			There is an entire rule in the CR just to cover this card and no other card.
chromatic-lantern	70	70			Allows your lands to tap for additional colors of mana. See also [mana filter](https://tagger.scryfall.com/tags/card/mana-filter), [land conversion](https://tagger.scryfall.com/tags/card/land-conversion).
conjure-duplicate	70	70	conjure		Cards that conjure duplicates instead of named cards or cards from spellbooks.
hate-named	23	70	name-matters		Hate a specific card of your choice. Yes, that one.
reanimate-land	51	70	recursion-land		
scales-with-multiple	70	70	name-matters		Cards that scale as you play more copies of themselves.
second-draw-matters	70	70	draw-matters		Cards that care when the player casting or controlling them draws their second card for the turn.
artifactify	69	69	type-change		Effects that turn things into artifacts.
casting-restriction	9	69			Spells with unusual conditions restricting their casting.
copy-from-graveyard	50	69	recursion		"Brings back" a copy of a permanent card in a graveyard instead of the original. Could be a token copy, could be turning another card into a copy of it.
free-discard-outlet	69	69	discard-outlet		Ways to discard repeatedly that require no additional cost or numerical limit.
type-errata-name-self	69	69	type-errata		These creatures used to just have Summon {CARDNAME} in their text box. Cf. [eponymous](eponymous).
werewolf-mechanic	69	69	catch-22		Going a turn without casting spells transforms this to its back face. Casting two spells in a turn returns it to the front face. This also includes permanents that use the Daybound and Nightbound keywords to transform (see [day/night](day-night)).
auto-equip	68	68	quick-equip		Equipments that attach themselves to other creatures as they enter the battlefield.
class-type-only	68	68			These creatures have only a class type, and no type correlating to whatever fantasy race they might belong to.
french-vanilla-walker	68	68	french-vanilla		French vanilla creatures with only a landwalk ability.
naturalize-with-set-mechanic	68	68	staple-with-set-s-mechanic		
twiddle	68	68	untapper		Tap or untap something.
unique-keyword	68	68			This card uses a keyword action, ability, or variant thereof that's found on no other cards.
dexterity	67	67	un-set-mechanics		Cards that require physical interaction outside of normal game scope, such as tossing cards or specific usage of one's head or hands. This can be an accessibility issue for some who have limited mobility, so it's now only used as an un-set mechanic.
move-counters	67	67			
power-doubler	67	67	scales-with-power		
ritual	67	67	ramp		Spells that add mana.
typal-pirate	48	67	typal-creature		
consult-onto-battlefield	66	66	sneak-from-library		Consult effects that put the card you find onto the battlefield.
defector	66	66	control-changing-effects		Permanents that move around the board on their own
hatebear	66	66	hate		Creatures that are low-cost (2 MV or less) and have low-power/toughness with relevant effects that may disrupt an opponent's strategy. These are traditionally associated with white.
mass-reanimation	66	66			Reanimate everything (or every thing of a kind) from one or more graveyards (or potentially do this).
restock-to-top	66	66	restock		Put cards from your graveyard on top of your library.
sacrifice-outlet-planeswalker	12	66	sacrifice-outlet		
state-trigger	66	66	triggered-ability		Cards that use a state trigger, which is a particular and rare kind of trigger. A common one is "When you control no [X]s, sacrifice this creature".
synergy-activated-ability	66	66			
synergy-basic	66	66			
synergy-historic	54	66	synergy-saga		
gives-flash	65	65			
protects-artifact	65	65	protection		
regrowth-planeswalker	15	65	regrowth		
auraify	64	64	type-change		Effects that turn things into auras.
counter-fuel-charge	64	64	counter-fuel		
disintegrate	64	64			Damaged creatures are exiled instead of dying.
extra-turn	64	64	blue-effect		Cards that grant extra turns.
mana-ability-with-extra-effect	64	64			Mana abilities that have some extra effect upon activating them, meaning that they can do actions in strange cases such as during the casting of a split second card and usually can't be prevented in any way.
repeatable-food	64	64	repeatable-noncreature-tokens		
set-life-total	64	64			Your life total becomes N. See also [life divider](/tags/card/life-divider) and [life doubler](/tags/card/life-doubler).
support	64	64	gives-pp-counters		Put a +1/+1 counter on each of up to N target creatures.
synergy-color-each	32	64			Cards that have a scaling effect for each color on permanents or cards. See [synergy-color-every](synergy-color-every) for cards that care specifically about five-colored cards.
counter-doubler	63	63	counter-increaser		
hate-full-hand	63	63	hand-size-hate		Cards that punish an opponent for having lots of cards in hand.
impulse-artifact	44	63	impulse		
madness	63	63	castable-from-exile		The specific keyword, madness (Used for applying specific subtags)
mana-increaser	63	63	ramp		Cards that increase the mana produced by mana producers, usually lands.
specter-ability	63	63	saboteur		Damaging the opponent strips cards out of their hand.
splits-on-death	63	63	leaves-body-behind		Cards with abilities that create multiple creature tokens when a creature dies.
synergy-colorless	63	63			
synergy-plains	61	63			
typal-dinosaur	63	63	typal-creature		
usg-storyline-in-cards	63	63			
draw-hate	62	62	hate		Cards that can hate on players drawing cards.
gains-double-strike	62	62			
reanimate-permanent	62	62	recursion-permanent		
regrowth-permanent	62	62	regrowth		
slith-ability	62	62	saboteur		Whenever a creature deals combat damage to a player, it gets a +1/+1 counter.
synergy-snow	59	62			
tuck-self	62	62	tuck		
dnd-item	61	61	dnd		Cards named after and representing DnD items.
gains-hexproof	61	61	protection		
legendify	12	61	type-change		Effects that turn things legendary.
named-choice	41	61			Players choose something, but the choices are given names, rather than choosing the effect itself.
pillowfort	20	61			Cards that disincentivise or make it harder for opponents to attack you
sneak-self	17	61	sneak		
speech-matters	61	61	un-set-mechanics		Cards that care about talking (or the lack of it)
start-of-game	36	61			Cards that are particularly effective when you start the game with them.
creature-ability-noncreature	60	60			Noncreature, non-Vehicle, non-Spacecraft permanents with abilities that become more relevant when they're animated as creatures, like combat keywords and attack triggers.
fog-selective	60	60	fog		Fog effects where the damage prevention is or has the potential to be asymmetrical in some way, usually by exempting a subset of attackers/defenders.
hate-planeswalker	56	60	hate		Effects that specifically answer or are better against planeswalkers. This does not include effects that happen to trigger whether its a player or planeswalker and don't help remove the planeswalker.
keyword-errata-flash	60	60	keyword-errata		Cards featuring Flash, before it was keyworded in Time Spiral
mill-each	60	60	mill-self		Cards that mill each player simultaneously, putting cards from top of their library to their graveyards.
power-matters-total	39	60	power-matters		Effects which care about the total power of some set of creatures.
restock-self	42	60	restock		Cards that restock themselves.
tmp-storyline-in-cards	60	60			
delayed-cantrip	59	59	delayed-trigger		Draw a card next turn.
impact-effect	59	59	creaturefall		Effects that have your creatures do ETB damage or life loss.
mm-counters-matter	28	59	counters-matter		Cards that care about -1/-1 counters in some way.
synergy-burn	59	59			
unheroic	58	59	synergy-target		Whenever you target something that's not yours, something good happens
conjure-to-battlefield	58	58	conjure		Cards that conjure other cards onto the battlefield.
creatureland	28	58	utility-land		Lands that can animate themselves.
gives-skulk	9	58	gives-evasion		
opponent-lifegain	58	58			Cards that make your opponents gain life.
place-sticker	58	58			All cards that put a sticker onto a card.
type-errata-viashino	58	58	type-errata-genericise		These were Viashino, now Lizards as of Modern Horizons 3.
parasitic-aura	57	57			Auras that harm the enchanted permanent's controller (usually by dealing damage or causing loss of life)
repeatable-mulch	57	57	mulch		
alternate-cost-sacrifice	35	56	sacrifice-outlet		Cards that let you sacrifice permanents to play them for free/a reduced amount of mana
copy-token	56	56	copy		Effects that copy specifically tokens, like populate.
powerstone-mana	35	56	restricted-mana		Mana that can't be spent to cast nonartifact spells.
theft-artifact	56	56	theft		
trumpet-blast	35	56	power-boost-to-all		Instants that give +N/+0 to all your (attacking) creatures until end of turn.
graveyard-seal	55	55	hate-graveyard		Prevent interaction with the graveyard or reanimation, or make it more difficult.
hand-size-increase	55	55			Cards that increase the maximum amount of cards you can hold.
hellbent	55	55	hand-size-matters		Effects that care about having no cards in hand.
prevent-mass-blockers	55	55	prevent-blocker		Cards that sweepingly prevent blocks from happening.
pridemate	46	55	lifegain-matters		Effects that put +1/+1 counters on something when you gain life.
roll-d20	55	55	dice-roll		
tutor-to-top	55	55	tutor-to		Cards that tutor something and put it on the top of the library.
commander-matters	0	54			Cards that care about commander mechanics. See child tags for the specific mechanics being engaged in.
damage-multiplier	54	54			Things deal double or triple damage. See also [damage increaser](/tags/card/damage-increaser).
extra-combat-phase	54	54	phase-manipulation		
fetchland	19	54	tutor-land-to-battlefield		Lands that sacrifice to tutor for other lands
synergy-treasure	54	54			
transform-improvement	54	54			Cards that do the same effect but better, or the same effects but with extra when they transform.
typal-soldier	54	54	typal-creature		
day-night	53	53			Effects that make use of or interact with the Day/Night mechanic introduced in Innistrad: Midnight Hunt, including but not limited to cards with the Daybound and Nightbound keywords.
discard-outlet-land	53	53	discard-outlet		
game-name	29	53	card-names		Cards that are named after game terms.
non-mana-ward	53	53	ward		Ward abilities with non-mana payments.
painland	37	53	life-payment		Lands that deal damage to the user upon tapping them for mana. For the original cycle of painlands, see [cycle-painland](cycle-painland) or [is:painland](https://scryfall.com/search?q=is%3Apainland).
regrowth-any	53	53	regrowth		Bring back a card of any card type from your graveyard to your hand.
sacrifice-outlet-universal	53	53	sacrifice-outlet-planeswalker		Allows you to sacrifice any permanent, regardless of its card type.
synergy-haste	53	53			
token-errata	53	53			These cards used to make a different type of token, which has since been updated. For type lines, see [Type Errata](type-errata)
typal-assassin	34	53	typal-creature		
counterspell-ability	51	52	counterspell		Cards that counter activated/triggered abilities. NOT for abilities that counter things.
earthquake	52	52	red-effect		Spells that deal damage to creatures without flying.
interrupt	52	52	deprecated-card-types		This spell was an interrupt before Sixth Edition Rules introduced the stack.
precognition-engine	52	52	precognition		Cards let you see the top card of your library and conditionally play it. See also [future sight engine](/tags/card/future-sight-engine) for an older variant in this vein.
synergy-tapped	52	52			Effects that care about your tapped permanents. For cards that care about something *becoming* tapped, see [uninspired](uninspired). For cards that care about being tapped themselves, see [tapped matters-self](tapped-matters-self).
theft-mass	52	52	theft		
threaten-with-set-s-mechanic	52	52	staple-with-set-s-mechanic		
timing-restriction	10	52	casting-restriction		Spells with unusual restrictions on when they can be cast.
catalog	51	51	loot		Draw two cards, then discard a card.
converge	21	51	color-spent-matters		Spells that do something equal to the number of colors spent to cast them.
counterspell-creature	51	51	counterspell		Counterspells that call out creatures specifically.
exalted	51	51	synergy-solo-attack		Creatures attacking alone get +N/+N
french-vanilla-equipment	51	51			Equipment that give a creature a stat change and/or a keyword with no other effects.
gains-flash	51	51			
tapper-permanent	51	51	tapper-land		Tap target permanent.
unique-evasion	51	51	evasion		
wheel-symmetrical	41	51	symmetrical		Wheel effects that effect each player, sometimes with no choice on whether they want to or not.
copy-ability	50	50	copy		
hate-enchantment	50	50	hate		
scry-like	50	50	peek-library		
synergy-party	40	50	typal-coupling		
typal-knight	49	50	typal-creature		
copy-legendary	49	49	copy		These cards can give you a copy of a legendary permanent you control that you can actually keep (instead of immediately sacrificing).
gives-shroud	49	49	protection		
legendary-team-up	49	49	multi-character-card		March of the Machines introduced a number of cards representing legendary cards teaming up. (And some playtest cards expanded on the concept.)
raid	49	49	attacking-matters		Cards that have an upside if you attacked this turn.
rules-nightmare	49	49			Cards that are known for having interactions that are difficult or nearly impossible to resolve within comprehensive rules
synergy-dice	30	49			Various effects that either make dice rolling better, or love when you [roll dice](dice-roll).
the-ring-tempts-you	49	49	legendify		
tutor-land-forest	49	49	tutor-land		Cards that tutor Forest cards.
counter-fuel-other	48	48	counter-fuel		Use other permanents' counters as fuel.
lure-limited	48	48	force-blocker		This creature must be blocked, but not necessarily by all creatures like a true lure.
miniwheel	48	48	wheel		Discard your hand, and draw less than seven cards. See also [wheel](/tags/card/wheel) for drawing (potentially) seven or more cards.
play-additional-land	48	48	extra-land		
pseudo-proliferate	44	48			Effects that sorta-proliferate some counters.
remove-counters-other	48	48	remove-counters		Remove counters from your opponents or their stuff.
restock-to-bottom	48	48	restock		Put cards from your graveyard on the bottom of your library.
synergy-cycling	48	48			
synergy-modified	48	48	synergy-equipment		
typal-elemental	48	48	typal-creature		
change-target	47	47			Cards that change the targets of something on the stack.
deal-with-the-devil	47	47	drawback		Typically black enchantments that come with a major drawback that could doom you. See also [lich effect](/tags/card/lich-effect).
mass-shrink	47	47	shrink		Shrink your opponent's whole board (or part of it).
monarch-matters	47	47			
text-change	25	47			Cards that directly change the text of a card.
unique-creature-type	47	47	unique-type-line		Creatures with one or more single creature types that are unique to them, not counting creature types on tokens.
ball-lightning	46	46			A high-damage one-turn creature.
copy-enchantment	17	46	copy		
cost-reducer-activated-ability	25	46	cost-reducer		
creature-type-name	46	46	card-names		Cards with names comprised of creature types.
exchange-control	46	46	control-changing-effects		Here's my stuff, give me yours.
gives-landwalk	9	46	gives-evasion		
leaves-graveyard-trigger	46	46	triggered-ability		Cards that have triggers whenever a card (or cards) leave your graveyard
open-attraction	46	46			
references-keyword	46	46			Cards that call back to a keyword or mechanic from an older set. It's like the "References/Referenced By" relationship, but for a mechanic instead of an individual card.
restock-all	46	46	restock		Cards that put your entire graveyard into your library
sacrifice-outlet-token	46	46	sacrifice-outlet		
sliver-stackable	46	46			Slivers having abilities where more than one instance of the ability does provide additional benefit.
trigger-doubler	46	46			
tutor-land-plains	46	46	tutor-land		Cards that tutor Plains cards.
type-addition-book	46	46	type-errata-addition		The release of Secrets of Strixhaven introduced the Book subtype, with errata to previous artifacts.
unstable-variant	0	46			Cards in Unstable that have multiple versions with the same collector number.
anagram	45	45	card-names		Cards whose names are intentional anagrams.
discard-outlet-random	45	45			
extract	45	45			Exile cards from a library. They're just gone now.
firebend-like	45	45	attack-trigger		When a creature attacks, get mana of some kind
flicker-artifact	16	45	flicker		
flying-counter	45	45	keyword-counter		
hate-noncreature	45	45	hate		
vanilla-aura	45	45			Auras that only change power and toughness.
abrade	44	44	burn-creature		Modal instant or sorcery spells that offer the option to either deal damage to creature(s) or remove artifact(s).
bushido	44	44	synergy-blocker-self		Whenever X blocks or becomes blocked, it's power and toughness is modified until end of turn.
cycle-colorless-land	0	44	cycle-land		Cycles of lands that produce only colorless mana.
ninjutsu	44	44	sneak-self		Collection tag used to apply the various tags that comprise the keyword Ninjutsu. Should be 1-1 with kw:ninjutsu.
oil-counters-matter	19	44	counters-matter		
paradox	44	44	synergy-library-cast		Cards that care about casting spells from anywhere other than your hand.
quote-name	44	44	card-names		Card names that are explicitly based on an existing quote.
regrowth-enchantment	37	44	regrowth		
shares-name-with-a-mechanic	44	44	card-names		Regardless of whether it relates to that mechanic.
unblocked-trigger	44	44	triggered-ability		
armoring	43	43			A toughness-pumping ability. See also [firebreathing] in red and [shade pump] in black.
copy-permanent-spell	43	43	copy-spell		
cost-reducer-instant-sorcery	42	43	cost-reducer-sorcery		
counter-preservation-self	43	43	counters-matter		When this thing leaves, put its counters on something else you control.
doesn-t-untap	43	43			Cards that prevent their own untapping in some way.
eponymous-planeswalker	43	43	card-names		Planeswalker cards that are just the full names of the character in question
guess	43	43			Effects that force you to guess at unknown information.
hate-wide	43	43	hate		The more creatures your opponent controls, the more these cards scale up to punish them for it.
infusion	43	43	lifegain-matters		If you gained life this turn, do a thing
random-card	24	43			Cards that involve bringing up a Magic: The Gathering card at random, either from the entire card pool or with certain specifications
remove-from-stack	43	43			Cards that remove spells from the stack without countering them.
repeatable-proliferate	43	43			
retaliate-to-damage	36	43			Effects that retaliate to damage inflicted upon you, by benefitting you or punishing the opponent.
tutor-land-any	43	43	tutor-land		Tutors with restricted effects that are able to search for any land.
typal-hero	43	43	typal-creature		
unique-protection	43	43			
affinity-for-artifacts	42	42	synergy-artifact		
any-player-ability	42	42			Abilities that can be activated by anyone.
block-additional	30	42			Block additional creatures beyond just the one.
combat-timing-restriction	42	42	timing-restriction		Spells that can only be cast in combat.
daunt	42	42	power-matters		The "can't be blocked by power 2 or less" as named by WotC. See also [gives daunt](gives-daunt).
day-zero-errata	42	42			These cards received errata before or immediately after their initial release.
dnd-spell	42	42	dnd		Cards originally from DnD sets that are named after and representing DnD spells.
gains-protection	42	42	protection		
mana-egg	42	42	egg		Mana rocks that have to be sacrificed to add mana. They may ramp or merely filter your mana.
regrowth-land	42	42	regrowth		
synergy-poison	42	42	poison-mechanics		
token-version-of-a-card	16	42	token-versions-of-cards		These tokens are identical to a card. See the parent tag above for more information.
unique-planeswalker-type	42	42	unique-type-line		
donate-mana	41	41			
flicker-self	41	41	flicker		
phyrexian-mana-cost	41	41	phyrexian-mana		Cards where the casting cost includes phyrexian mana
planeswalker-deck-face-card	41	41			
repeatable-seek	41	41	seek		
tax-attack	41	41	pillowfort		Cards that prevent players from attacking unless they pay a cost, usually mana
typal-wolf	14	41	typal-creature		
abyss	40	40	repeatable-removal		Recurring effects that make players sacrifice, destroy or otherwise remove permanents, usually creatures, every turn.
alternate-cost-bounce	40	40	bounce		Cards that let you return permanents to your hand to play them for less/no mana
blood-artist-ability	40	40	death-trigger		Cards that have abilities along the lines of: "Whenever creature dies target/each opponent loses X life and you gain X life."
command	14	40	modal		Modal spells where you pick two options out of four
counterspell-exile	38	40	counterspell		For counterspelling that exiles the spell.
graveyard-fuel-instant	40	40	graveyard-fuel		
high-x-matters	40	40			Cards with X values that do something extra beyond the X effect, as long as X surpasses a specific threshold.
inscryption-achievement	40	40	card-names		Cards that share a name with achievements in the PC game Inscryption
metalcraft	40	40	synergy-artifact		Effects when the player controls three or more artifacts.
mm-counter-cost	40	40	gives-mm-counters		Cards that put -1/-1 counters on your stuff as a cost or requirement for other effects.
type-errata-naga	40	40	type-errata-genericise		These were Naga, now Snakes as of Modern Horizons 3.
young-pyromancer-ability	40	40	synergy-sorcery		Whenever you cast an instant or sorcery spell, create a creature token.
cranial-plating	30	39	synergy-artifact		Buffs based on the number of artifacts or Equipment you control/in play. See also [armament ability](armament-ability). For the enchantment version, see [ethereal armor](ethereal-armor).
deprecated-p-t-counter	39	39	deprecated-mechanics		In the early days Magic used all kinds of power/toughness modifying counters. Nowadays it just sticks with +1/+1 and -1/-1 counters.
doctor-who-episode-name	20	39	card-names		
has-identical-token	39	39	token-versions-of-cards		A token exists that's identical to these cards. See more: [token versions of cards](token-versions-of-cards).
maro	39	39	hand-size-matters		Cards with P/T equal to cards in hand. Named after the card Maro, a nickname for Mark Rosewater, the head designer for Magic: The Gathering.
polymorph	39	39			Effects that remove a permanent and replace it with another random one.
random-discard	39	39	hand-disruption		
soul-warden-ability	38	39	creaturefall		Creatures entering the battlefield causes you to gain N life.
typal-bird	38	39	typal-creature		
unique-type-exclusion	39	39			Cards that say "non-type" where no other card does that for that type.
alternate-loss-condition	32	38	drawback		New ways for you to lose the game
clash-like	38	38	mana-value-matters		Cards that compare the mana values of multiple players' revealed cards
counterspell-automatic	38	38	counterspell		Cards that will automatically try to counter spells.
graveyard-fuel-sorcery	38	38	graveyard-fuel		
impulse-enchantment	25	38	impulse		
pwdeck-sidekick	38	38	planeswalker-deck-staples		Cards from Planeswalker Decks that care about having the corresponding planeswalker out.
restock-creature	38	38	restock		
silence	38	38	white-effect		Prevent opponents from casting spells, and possibly also activate abilities.
stasis	38	38			Limit how many things untap during the untap step, if at all.
typal-rat	38	38	typal-creature		
unique-p-t	38	38			Cards with a power/toughness not seen on any other card.
demilich-effect	37	37	recursion		Exiles cards from graveyard, but lets you cast copies of them. Essentially (usually) one-time recursion.
enchantmentize	37	37	type-change		Effects that turn things into enchantments.
impulse-permanent	37	37	impulse		
ingest	37	37	saboteur		Permanents that exile one or more cards from the top of an opponent's library upon dealing combat damage.
mimic	37	37			Cards that can copy (mimic) the abilities of other cards.
rescue-permanent	37	37	rescue-land		
seek-mv	37	37	seek		Seek cards with a certain mana value.
self-life-loss-matters	37	37	life-loss-matters		
soothsaying	37	37	peek-library		Look at the top N cards of a library and rearrange them.
art-matters	27	36	un-set-mechanics		Cards which care about the contents of art. See also [artist matters](/tags/card/artist-matters).
behold	21	36			Cards that have an effect if you control something or reveal from your hand a card with a specific attribute.
counter-fuel-any	36	36	counter-fuel		Use any type of counter as fuel.
cycle-cycling-land	0	36	cycle-land		Cycles of cycling lands. (Alternate title: we saw you like cycles, so we put cycling in your cycles so you can cycle while you cycle.)
cycle-ust-functional-variant	36	36	unstable-variant		Cards in Unstable that have multiple versions with the same collector number, but different mana cost and/or rules text.
divvy	14	36	dilemma		Cards that make you choose from two or more piles.
earthbend	36	36	animate-land		Collection tag used to apply the various tags that comprise the keyword Earthbend. Should be 1:1 with kw:earthbend.
hate-empty-hand	20	36	hand-size-hate		Cards that punish opponents for having few or no cards in hand. For cards that care about their controller's hand being empty, see [hellbent](hellbent) and [heckbent](heckbent).
hate-lifegain	36	36	hate		
lobotomy	36	36	hate-named		Exile all cards of a particular name from a player's hand, library, and/or graveyard. See also [nevermore](/tags/card/nevermore), which forbids certain cards from being cast.
monstrosity	36	36	untracked-indefinite-effect		
players-outside-game-matter	31	36	un-set-mechanics		Cards that involve people beyond the players in the game.
protects-land	36	36	protection		
protects-permanent	36	36	protects-creature		
